                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  2.519,                 1.7329,                 1.7533,                0.44051,                0.92857,                0.73581,                0.18245,                 2.1555,                  1.809,                 1.7175,              0.0015267,              0.0015267,              0.0015267
                     37,                 2.3454,                 1.7054,                 1.6161,                0.35143,                0.73214,                0.51426,                0.16879,                 2.2546,                 1.9788,                 1.7764,              0.0015226,              0.0015226,              0.0015226
                     38,                  2.345,                 1.7568,                 1.6767,                0.38027,                0.80357,                0.50948,                0.10285,                 2.0857,                 2.0724,                 1.7596,              0.0015185,              0.0015185,              0.0015185
                     39,                 2.3927,                 1.6386,                 1.6586,                0.40686,                0.71429,                0.50657,                0.13188,                 2.2357,                 1.8626,                 1.7369,              0.0015143,              0.0015143,              0.0015143
                     40,                 2.3697,                 1.7325,                 1.6749,                0.32062,                0.68959,                0.45517,                0.17589,                 2.0478,                 1.9078,                 1.6339,              0.0015102,              0.0015102,              0.0015102
                     41,                 2.2601,                 1.6379,                 1.5793,                0.30083,                0.68741,                0.49673,                0.12653,                   2.13,                 1.9211,                 1.6678,              0.0015061,              0.0015061,              0.0015061
                     42,                  2.276,                 1.7205,                 1.7073,                0.42301,                0.74124,                0.74078,                0.23154,                 2.3401,                 1.8671,                 1.7555,               0.001502,               0.001502,               0.001502
                     43,                  2.449,                 1.6885,                 1.6598,                0.34989,                0.73214,                0.48484,                0.13237,                 2.3952,                 1.7995,                 1.7583,              0.0014978,              0.0014978,              0.0014978
                     44,                 2.3406,                 1.7038,                 1.6998,                0.34842,                0.73214,                0.42645,                0.13891,                 2.2144,                 1.8153,                 1.7031,              0.0014937,              0.0014937,              0.0014937
                     45,                 2.1506,                 1.6578,                 1.5847,                0.38281,                0.85714,                0.55098,                0.25432,                  2.085,                 1.7168,                 1.6552,              0.0014896,              0.0014896,              0.0014896
                     46,                 2.2467,                 1.5987,                 1.5552,                0.40914,                0.80357,                0.47233,                0.17335,                 2.1224,                 1.7022,                 1.6611,              0.0014855,              0.0014855,              0.0014855
                     47,                 2.3237,                 1.6045,                 1.6063,                0.36824,                0.76451,                 0.4602,                0.10459,                 2.0435,                  2.075,                 1.7386,              0.0014813,              0.0014813,              0.0014813
                     48,                 2.3344,                 1.6518,                 1.6211,                0.08906,                  0.875,                0.40754,                0.10924,                 2.2117,                 2.3986,                 1.7924,              0.0014772,              0.0014772,              0.0014772
                     49,                 2.1935,                 1.5265,                 1.5611,                0.07014,                   0.25,                0.29487,                0.08258,                 2.3456,                 2.3932,                 1.9171,              0.0014731,              0.0014731,              0.0014731
                     50,                  2.103,                 1.5385,                 1.5179,                0.14649,                0.48951,                0.26158,                0.09453,                  2.107,                 2.2027,                  1.723,               0.001469,               0.001469,               0.001469
                     51,                 2.1312,                 1.5671,                 1.5862,                0.40037,                0.80357,                0.46329,                0.18155,                 1.7923,                 1.6249,                 1.5827,              0.0014648,              0.0014648,              0.0014648
                     52,                 2.2073,                 1.6117,                  1.641,                0.42668,                0.92857,                0.57875,                0.25175,                 1.9828,                 1.6014,                 1.5496,              0.0014607,              0.0014607,              0.0014607
                     53,                 2.2575,                 1.5626,                  1.554,                0.45376,                0.92857,                0.63525,                0.29106,                 1.9723,                 1.6258,                  1.547,              0.0014566,              0.0014566,              0.0014566
                     54,                 2.0889,                  1.584,                 1.5218,                0.56986,                0.92857,                0.65471,                0.26248,                 1.9327,                  1.684,                 1.5369,              0.0014525,              0.0014525,              0.0014525
                     55,                 2.1208,                 1.6327,                 1.5929,                0.54492,                0.92857,                0.61059,                0.28312,                 1.7363,                 1.6435,                 1.4403,              0.0014483,              0.0014483,              0.0014483
                     56,                 1.9772,                 1.5822,                 1.5331,                0.48465,                0.85714,                0.58642,                0.28307,                 1.8247,                   1.66,                 1.5092,              0.0014442,              0.0014442,              0.0014442
